sci_name;common_name;ebird_code;class;order;in_v2;in_v3;label_af;label_ar;label_cs;label_da;label_de;label_en;label_en_uk;label_es;label_fi;label_fr;label_hu;label_it;label_ja;label_ko;label_nl;label_no;label_pl;label_pt;label_ro;label_ru;label_sk;label_sl;label_sv;label_th;label_tr;label_uk;label_zh
Vaccinium floribundum;Andean blueberry;;Asterids;Ericales;False;True;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry;Andean blueberry
Vagitanus terminalis;Vagitanus terminalis;;Insecta;Hemiptera;False;True;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis;Vagitanus terminalis
Vanellus albiceps;White-crowned Lapwing;whhlap1;Aves;Charadriiformes;False;True;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing;White-crowned Lapwing
Vanellus armatus;Blacksmith Lapwing;blaplo1;Aves;Charadriiformes;True;True;Bontkiewiet;Blacksmith Lapwing;čejka běločelá;Blacksmith Lapwing;Schmiedekiebitz;Blacksmith Lapwing;Blacksmith Lapwing;Avefría Armada;Blacksmith Lapwing;Vanneau armé;Blacksmith Lapwing;Blacksmith Lapwing;シロクロゲリ;Blacksmith Lapwing;Smidsplevier;smedvipe;czajka srokata;Blacksmith Lapwing;Blacksmith Lapwing;Чибис-кузнец;cíbik čiernochrbtý;Blacksmith Lapwing;Smedvipa;Blacksmith Lapwing;Zırhlı Kızkuşu;Чайка строката;Blacksmith Lapwing
Vanellus cayanus;Pied Lapwing;;;;True;False;Pied Lapwing;Pied Lapwing;čejka kulíkovitá;Pied Lapwing;Cayennekiebitz;Pied Lapwing;Pied Lapwing;Avefría de Cayena;Pied Lapwing;Vanneau de Cayenne;Pied Lapwing;Pied Lapwing;マダラゲリ;Pied Lapwing;Cayennekievit;lovipe;czajka obrożna;Pied Lapwing;Pied Lapwing;Диадемовая пигалица;kulich diadémový;Pied Lapwing;Brokpipare;Pied Lapwing;Cayena Kızkuşu;Чайка каєнська;Pied Lapwing
Vanellus chilensis;Southern Lapwing;soulap1;Aves;Charadriiformes;True;True;Southern Lapwing;Southern Lapwing;čejka jihoamerická;Southern Lapwing;Bronzekiebitz;Southern Lapwing;Southern Lapwing;Avefría Tero;Southern Lapwing;Vanneau téro;Southern Lapwing;Southern Lapwing;ナンベイタゲリ;Southern Lapwing;Chileense Kievit;bronsevipe;czajka miedziana;Southern Lapwing;Southern Lapwing;Кайеннский чибис;cíbik čiernočelý;Pampska priba;Sydamerikansk vipa;Southern Lapwing;Şili Kızkuşu;Чайка чилійська;Southern Lapwing
Vanellus cinereus;Grey-headed Lapwing;gyhlap1;Aves;Charadriiformes;True;True;Gray-headed Lapwing;Gray-headed Lapwing;čejka šedohlavá;Gråhovedet Vibe;Graukopfkiebitz;Gray-headed Lapwing;Grey-headed Lapwing;Avefría Ceniza;Gray-headed Lapwing;Vanneau à tête grise;Gray-headed Lapwing;Gray-headed Lapwing;ケリ;민댕기물떼새;Grijskopkievit;gråhodevipe;czajka szarogłowa;Gray-headed Lapwing;Gray-headed Lapwing;Серый чибис;cíbik sivohlavý;Pepelasta priba;Gråhuvad vipa;นกกระแตหัวเทา;Gri Başlı Kızkuşu;Чайка сіра;跳鴴
Vanellus coronatus;Crowned Lapwing;crolap1;Aves;Charadriiformes;True;True;Kroonkiewiet;Crowned Lapwing;čejka korunkatá;Crowned Lapwing;Kronenkiebitz;Crowned Lapwing;Crowned Lapwing;Avefría Coronada;Crowned Lapwing;Vanneau couronné;Crowned Lapwing;Crowned Lapwing;オウカンゲリ;Crowned Lapwing;Diadeemkievit;kronvipe;czajka koroniasta;Crowned Lapwing;Crowned Lapwing;Венценосный чибис;cíbik korunkatý;Kronasta priba;Kronvipa;Crowned Lapwing;Taçlı Kızkuşu;Чайка чорнолоба;Crowned Lapwing
Vanellus crassirostris;Long-toed Lapwing;lotlap1;Aves;Charadriiformes;False;True;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing;Long-toed Lapwing
Vanellus duvaucelii;River Lapwing;rivlap1;Aves;Charadriiformes;True;True;River Lapwing;River Lapwing;čejka říční;River Lapwing;Flusskiebitz;River Lapwing;River Lapwing;Avefría Fluvial;River Lapwing;Vanneau pie;River Lapwing;River Lapwing;カタグロツメバゲリ;River Lapwing;Indische Sporenkievit;elvevipe;czajka rzeczna;River Lapwing;River Lapwing;Индийский чибис;cíbik riečny;River Lapwing;Flodvipa;นกกระแตหาด;Nehir Kızkuşu;Чайка річкова;River Lapwing
