sci_name;common_name;ebird_code;class;order;in_v2;in_v3;label_af;label_ar;label_cs;label_da;label_de;label_en;label_en_uk;label_es;label_fi;label_fr;label_hu;label_it;label_ja;label_ko;label_nl;label_no;label_pl;label_pt;label_ro;label_ru;label_sk;label_sl;label_sv;label_th;label_tr;label_uk;label_zh
Abeillia abeillei;Emerald-chinned Hummingbird;emchum1;Aves;Apodiformes;False;True;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird;Emerald-chinned Hummingbird
Abroscopus albogularis;Rufous-faced Warbler;rufwar1;Aves;Passeriformes;True;True;Rufous-faced Warbler;Rufous-faced Warbler;Rufous-faced Warbler;Rufous-faced Warbler;Rostwangen-Dickichtsänger;Rufous-faced Warbler;Rufous-faced Warbler;Mosquitero Carirrufo;Rufous-faced Warbler;Bouscarle à moustaches;Rufous-faced Warbler;Rufous-faced Warbler;コシジロムシクイ;Rufous-faced Warbler;Roodwangboszanger;rustmaskesanger;skrytoczub rdzawolicy;Rufous-faced Warbler;Rufous-faced Warbler;Рыжещёкая комарница;pradešan červenolíci;Rufous-faced Warbler;Rostkindad cettia;นกกระจ้อยคอดำ;Kızıl Yüzlü Ötleğen;Війчик рудощокий;棕面鶯
Abroscopus schisticeps;Black-faced Warbler;blfwar1;Aves;Passeriformes;True;True;Black-faced Warbler;Black-faced Warbler;Black-faced Warbler;Black-faced Warbler;Schieferkopf-Dickichtsänger;Black-faced Warbler;Black-faced Warbler;Mosquitero Carinegro;Black-faced Warbler;Bouscarle à face noire;Black-faced Warbler;Black-faced Warbler;カオグロムシクイ;Black-faced Warbler;Zwartmaskerboszanger;svartmaskesanger;skrytoczub ciemnolicy;Black-faced Warbler;Black-faced Warbler;Чернолицая комарница;pradešan čiernolíci;Black-faced Warbler;Svartkindad cettia;Black-faced Warbler;Siyah Yüzlü Ötleğen;Війчик чорнощокий;Black-faced Warbler
Abroscopus superciliaris;Yellow-bellied Warbler;yebwar1;Aves;Passeriformes;True;True;Yellow-bellied Warbler;Yellow-bellied Warbler;Yellow-bellied Warbler;Yellow-bellied Warbler;Bambusdickichtsänger;Yellow-bellied Warbler;Yellow-bellied Warbler;Mosquitero Cejiblanco;Yellow-bellied Warbler;Bouscarle à sourcils blancs;Yellow-bellied Warbler;Yellow-bellied Warbler;マミジロムシクイ;Yellow-bellied Warbler;Bamboeboszanger;hvitbrynsanger;skrytoczub białobrewy;Yellow-bellied Warbler;Yellow-bellied Warbler;Желтобрюхая комарница;pradešan bambusový;Yellow-bellied Warbler;Gulbukig cettia;นกกระจ้อยคอขาว;Sarı Karınlı Ötleğen;Війчик білобровий;Yellow-bellied Warbler
Aburria aburri;Wattled Guan;watgua1;Aves;Galliformes;True;True;Wattled Guan;Wattled Guan;guan aburri;Wattled Guan;Lappenguan;Wattled Guan;Wattled Guan;Pava Aburria;Wattled Guan;Pénélope aburri;Wattled Guan;Wattled Guan;ニクダレシャクケイ;Wattled Guan;Lelgoean;gulflikhokko;grdacz soplowaty;Wattled Guan;Wattled Guan;Серёжчатый гуан;morkovec lalôčkový;Wattled Guan;Flikguan;Wattled Guan;Küpeli Guan;Абурі;Wattled Guan
Acanthagenys rufogularis;Spiny-cheeked Honeyeater;spchon1;Aves;Passeriformes;True;True;Spiny-cheeked Honeyeater;Spiny-cheeked Honeyeater;Spiny-cheeked Honeyeater;Spiny-cheeked Honeyeater;Braunkehl-Honigfresser;Spiny-cheeked Honeyeater;Spiny-cheeked Honeyeater;Mielero Golicanelo;Spiny-cheeked Honeyeater;Méliphage à bavette;Spiny-cheeked Honeyeater;Spiny-cheeked Honeyeater;ケミミミツスイ;Spiny-cheeked Honeyeater;Goudkeelhoningeter;rosennebbhonningeter;kolcoliczek;Spiny-cheeked Honeyeater;Spiny-cheeked Honeyeater;Розовоклювый серёжкоух;medárik hnedohrdlý;Spiny-cheeked Honeyeater;Rosanäbbad honungsfågel;Spiny-cheeked Honeyeater;Diken Yanaklı Balkuşu;Медолюб-дзвіночок;Spiny-cheeked Honeyeater
Acanthidops bairdi;Peg-billed Finch;pebfin1;Aves;Passeriformes;True;True;Peg-billed Finch;Peg-billed Finch;Peg-billed Finch;Peg-billed Finch;Vulkanammertangare;Peg-billed Finch;Peg-billed Finch;Yal Costarricense;Peg-billed Finch;Bec-en-cheville gris;Peg-billed Finch;Peg-billed Finch;ハシナガシトド;Peg-billed Finch;Wigsnavelgors;spissnebbspurv;bambusozięb ostrodzioby;Peg-billed Finch;Peg-billed Finch;Остроклювый овсяночник;pinkavka sivá;Peg-billed Finch;Spetsnäbbad tangara;Peg-billed Finch;Sivri Gagalı İspinoz;Шиферка гостродзьоба;Peg-billed Finch
Acanthis cabaret;Acanthis cabaret;;Aves;Passeriformes;True;True;Lesser Redpoll;Lesser Redpoll;čečetka tmavá;Lille Gråsisken;Alpenbirkenzeisig;Lesser Redpoll;Lesser Redpoll;Pardillo Alpino;ruskourpiainen;Sizerin cabaret;Barna zsezse;Organetto minore;イメベニヒワ;Lesser Redpoll;Kleine Barmsijs;brunsisik;czeczotka brązowa;Lesser Redpoll;Inăriță mică;Малая чечётка;stehlík hnedkavý;Mali brezovček;Brunsiska;Lesser Redpoll;Küçük Huş İsketesi;Чечітка мала;Lesser Redpoll
Acanthis flammea;Redpoll;redpol1;Aves;Passeriformes;True;True;Common Redpoll;Common Redpoll;čečetka zimní;Stor Gråsisken;Taigabirkenzeisig;Common Redpoll;Common Redpoll;Pardillo Norteño;urpiainen;Sizerin flammé;Zsezse;Organetto;ベニヒワ;홍방울새;Grote Barmsijs;gråsisik;czeczotka;Common Redpoll;Inăriță;Обыкновенная чечётка;stehlík čečetka;Brezovček;Gråsiska;Common Redpoll;Huş İsketesi;Чечітка звичайна;普通朱頂雀
Acanthis hornemanni;Acanthis hornemanni;;Aves;Passeriformes;True;True;Hoary Redpoll;Hoary Redpoll;čečetka bělavá;Hvidsisken;Polarbirkenzeisig;Hoary Redpoll;Arctic Redpoll;Pardillo Ártico;tundraurpiainen;Sizerin blanchâtre;Szürke zsezse;Hoary Redpoll;コベニヒワ;쇠홍방울새;Witstuitbarmsijs;polarsisik;czeczotka tundrowa;Hoary Redpoll;Inăriță de tundră;Пепельная чечётка;stehlík polárny;Polarni brezovček;Snösiska;Hoary Redpoll;Kutup İsketesi;Чечітка біла;Hoary Redpoll
Acanthisitta chloris;Rifleman;riflem1;Aves;Passeriformes;True;True;Rifleman;Rifleman;Rifleman;Rifleman;Grünstummelschwanz;Rifleman;Rifleman;Acantisita Verdoso;Rifleman;Xénique grimpeur;Rifleman;Rifleman;ミドリイワサザイ;Rifleman;Geweervogel;skogklatresmett;barglik;Rifleman;Rifleman;Зелёный стрелок;striežik zelenkavý;Rifleman;Klättersmyg;Rifleman;Nişancı;Стрілець;Rifleman
Acanthiza apicalis;Inland Thornbill;inltho1;Aves;Passeriformes;True;True;Inland Thornbill;Inland Thornbill;Inland Thornbill;Inland Thornbill;Stelzschwanz-Dornschnabel;Inland Thornbill;Inland Thornbill;Acantiza Apical;Inland Thornbill;Acanthize troglodyte;Inland Thornbill;Inland Thornbill;ヒロオトゲハシムシクイ;Inland Thornbill;Roodstuitdoornsnavel;krattornsmett;buszówka szerokosterna;Inland Thornbill;Inland Thornbill;Пестрогрудая шипоклювка;ostrozobka hnedochvostá;Inland Thornbill;Inlandstaggnäbb;Inland Thornbill;Al Gözlü Dikengaga;Шиподзьоб широкохвостий;Inland Thornbill
Acanthiza chrysorrhoa;Yellow-rumped Thornbill;yertho1;Aves;Passeriformes;True;True;Yellow-rumped Thornbill;Yellow-rumped Thornbill;Yellow-rumped Thornbill;Yellow-rumped Thornbill;Gelbbürzel-Dornschnabel;Yellow-rumped Thornbill;Yellow-rumped Thornbill;Acantiza Culigualda;Yellow-rumped Thornbill;Acanthize à croupion jaune;Yellow-rumped Thornbill;Yellow-rumped Thornbill;コモントゲハシムシクイ;Yellow-rumped Thornbill;Geelstuitdoornsnavel;gulgumptornsmett;buszówka żółtorzytna;Yellow-rumped Thornbill;Yellow-rumped Thornbill;Желтопоясничная шипоклювка;ostrozobka lúčna;Yellow-rumped Thornbill;Gulgumpad taggnäbb;Yellow-rumped Thornbill;Sarı Belli Dikengaga;Шиподзьоб жовтогузий;Yellow-rumped Thornbill
Acanthiza cinerea;Grey Thornbill;mouger1;Aves;Passeriformes;False;True;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill;Grey Thornbill
Acanthiza ewingii;Tasmanian Thornbill;tastho1;Aves;Passeriformes;True;True;Tasmanian Thornbill;Tasmanian Thornbill;Tasmanian Thornbill;Tasmanian Thornbill;Tasmandornschnabel;Tasmanian Thornbill;Tasmanian Thornbill;Acantiza de Tasmania;Tasmanian Thornbill;Acanthize de Tasmanie;Tasmanian Thornbill;Tasmanian Thornbill;タスマニアトゲハシムシクイ;Tasmanian Thornbill;Tasmaanse Doornsnavel;tasmantornsmett;buszówka rdzawoczelna;Tasmanian Thornbill;Tasmanian Thornbill;Тасманийская шипоклювка;ostrozobka tasmánska;Tasmanian Thornbill;Tasmantaggnäbb;Tasmanian Thornbill;Tasmanya Dikengagası;Шиподзьоб тасманійський;Tasmanian Thornbill
Acanthiza inornata;Western Thornbill;westho1;Aves;Passeriformes;True;True;Western Thornbill;Western Thornbill;Western Thornbill;Western Thornbill;Walddornschnabel;Western Thornbill;Western Thornbill;Acantiza Sencilla;Western Thornbill;Acanthize sobre;Western Thornbill;Western Thornbill;ニシトゲハシムシクイ;Western Thornbill;Kaap-Leeuwindoornsnavel;vesttornsmett;buszówka uboga;Western Thornbill;Western Thornbill;Лесная шипоклювка;ostrozobka plavá;Western Thornbill;Västlig taggnäbb;Western Thornbill;Batılı Boz Dikengaga;Шиподзьоб лісовий;Western Thornbill
Acanthiza iredalei;Slender-billed Thornbill;slbtho2;Aves;Passeriformes;False;True;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill;Slender-billed Thornbill
Acanthiza katherina;Mountain Thornbill;moutho1;Aves;Passeriformes;False;True;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill;Mountain Thornbill
Acanthiza lineata;Striated Thornbill;strtho1;Aves;Passeriformes;True;True;Striated Thornbill;Striated Thornbill;Striated Thornbill;Striated Thornbill;Stricheldornschnabel;Striated Thornbill;Striated Thornbill;Acantiza Estriada;Striated Thornbill;Acanthize ridé;Striated Thornbill;Striated Thornbill;ムナフトゲハシムシクイ;Striated Thornbill;Twijgdoornsnavel;stripetornsmett;buszówka kreskowana;Striated Thornbill;Striated Thornbill;Пёстрая шилоклювка;ostrozobka čiarková;Striated Thornbill;Strimmig taggnäbb;Striated Thornbill;Çizgili Dikengaga;Шиподзьоб смугастоволий;Striated Thornbill
Acanthiza murina;New Guinea Thornbill;paptho1;Aves;Passeriformes;False;True;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill;New Guinea Thornbill
Acanthiza nana;Yellow Thornbill;yeltho1;Aves;Passeriformes;True;True;Yellow Thornbill;Yellow Thornbill;Yellow Thornbill;Yellow Thornbill;Gelbbauch-Dornschnabel;Yellow Thornbill;Yellow Thornbill;Acantiza Enana;Yellow Thornbill;Acanthize nain;Yellow Thornbill;Yellow Thornbill;ヒメトゲハシムシクイ;Yellow Thornbill;Gele Doornsnavel;gultornsmett;buszówka żółtobrzucha;Yellow Thornbill;Yellow Thornbill;Жёлтая шипоклювка;ostrozobka žltobruchá;Yellow Thornbill;Gul taggnäbb;Yellow Thornbill;Sarı Dikengaga;Шиподзьоб малий;Yellow Thornbill
Acanthiza pusilla;Brown Thornbill;brotho1;Aves;Passeriformes;True;True;Brown Thornbill;Brown Thornbill;Brown Thornbill;Brown Thornbill;Roststirn-Dornschnabel;Brown Thornbill;Brown Thornbill;Acantiza Parda;Brown Thornbill;Acanthize mignon;Brown Thornbill;Brown Thornbill;チャイロトゲハシムシクイ;Brown Thornbill;Bruine Doornsnavel;bruntornsmett;buszówka brązowa;Brown Thornbill;Brown Thornbill;Малая шипоклювка;ostrozobka hrdzavočelá;Brown Thornbill;Rostpannad taggnäbb;Brown Thornbill;Kahverengi Dikengaga;Шиподзьоб бурий;Brown Thornbill
Acanthiza reguloides;Buff-rumped Thornbill;burtho1;Aves;Passeriformes;True;True;Buff-rumped Thornbill;Buff-rumped Thornbill;Buff-rumped Thornbill;Buff-rumped Thornbill;Goldhähnchen-Dornschnabel;Buff-rumped Thornbill;Buff-rumped Thornbill;Acantiza Reguloide;Buff-rumped Thornbill;Acanthize à croupion beige;Buff-rumped Thornbill;Buff-rumped Thornbill;ウグイストゲハシムシクイ;Buff-rumped Thornbill;Vaalstuitdoornsnavel;okergumptornsmett;buszówka zmienna;Buff-rumped Thornbill;Buff-rumped Thornbill;Корольковая шипоклювка;ostrozobka kôrarská;Buff-rumped Thornbill;Ockragumpad taggnäbb;Buff-rumped Thornbill;Keten Belli Dikengaga;Шиподзьоб золотомушковий;Buff-rumped Thornbill
Acanthiza robustirostris;Slaty-backed Thornbill;slbtho1;Aves;Passeriformes;False;True;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill;Slaty-backed Thornbill
Acanthiza uropygialis;Chestnut-rumped Thornbill;chrtho1;Aves;Passeriformes;True;True;Chestnut-rumped Thornbill;Chestnut-rumped Thornbill;Chestnut-rumped Thornbill;Chestnut-rumped Thornbill;Braunbürzel-Dornschnabel;Chestnut-rumped Thornbill;Chestnut-rumped Thornbill;Acantiza Culirroja;Chestnut-rumped Thornbill;Acanthize à croupion roux;Chestnut-rumped Thornbill;Chestnut-rumped Thornbill;コシアカトゲハシムシクイ;Chestnut-rumped Thornbill;Roodstaartdoornsnavel;kastanjegumptornsmett;buszówka rudorzytna;Chestnut-rumped Thornbill;Chestnut-rumped Thornbill;Рыжепоясничная шипоклювка;ostrozobka bútľavinová;Chestnut-rumped Thornbill;Rödgumpad taggnäbb;Chestnut-rumped Thornbill;Kestane Belli Dikengaga;Шиподзьоб рудогузий;Chestnut-rumped Thornbill
Acanthorhynchus superciliosus;Western Spinebill;wesspi1;Aves;Passeriformes;True;True;Western Spinebill;Western Spinebill;Western Spinebill;Western Spinebill;Buntkopf-Honigfresser;Western Spinebill;Western Spinebill;Picoespina Occidental;Western Spinebill;Méliphage festonné;Western Spinebill;Western Spinebill;ニシキリハシミツスイ;Western Spinebill;Roesthalshoningvogel;trikolorhonningeter;miodopijek rdzawoszyi;Western Spinebill;Western Spinebill;Западная титиара;peliar hrdzavokrký;Western Spinebill;Västlig sylnäbb;Western Spinebill;Hercai Kılgaga;Медолюб-шилодзьоб західний;Western Spinebill
Acanthorhynchus tenuirostris;Eastern Spinebill;easspi1;Aves;Passeriformes;True;True;Eastern Spinebill;Eastern Spinebill;Eastern Spinebill;Eastern Spinebill;Rotnacken-Honigfresser;Eastern Spinebill;Eastern Spinebill;Picoespina Oriental;Eastern Spinebill;Méliphage à bec grêle;Eastern Spinebill;Eastern Spinebill;キリハシミツスイ;Eastern Spinebill;Zwarthalshoningvogel;prydhonningeter;miodopijek długodzioby;Eastern Spinebill;Eastern Spinebill;Восточная титиара;peliar tenkozobý;Eastern Spinebill;Östlig sylnäbb;Eastern Spinebill;Kızıl Enseli Kılgaga;Медолюб-шилодзьоб східний;Eastern Spinebill
Acanthornis magna;Scrubtit;scrubt2;Aves;Passeriformes;False;True;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit;Scrubtit
Acanthoventris drewseni;Acanthoventris drewseni;;Insecta;Hemiptera;False;True;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni;Acanthoventris drewseni
Accipiter badius;Shikra;;;;True;False;Gebande Sperwer;البيدق الآسيوي;krahujec šikra;Shikra;Schikrasperber;Shikra;Shikra;Gavilán Chikra;arovarpushaukka;Épervier shikra;Sikra;Shikra;タカサゴダカ;Shikra;Shikra;shikrahauk;krogulec mały;Shikra;Uliu șicra;Тювик;jastrab šikra;Šikra;Shikra;เหยี่ยวนกเขาชิครา;Şikra;Яструб туркестанський;褐耳鷹
Accipiter bicolor;Bicolored Hawk;;;;True;False;Bicolored Hawk;Bicolored Hawk;jestřáb neotropický;Bicolored Hawk;Zweifarbhabicht;Bicolored Hawk;Bicoloured Hawk;Gavilán Bicolor;Bicolored Hawk;Épervier bicolore;Bicolored Hawk;Bicolored Hawk;モモアカハイタカ;Bicolored Hawk;Roodbroeksperwer;indianerhauk;krogulec dwubarwny;Bicolored Hawk;Bicolored Hawk;Двуцветный ястреб;jastrab dvojfarebný;Bicolored Hawk;Tvåfärgad hök;Bicolored Hawk;İki Renkli Atmaca;Яструб неотропічний;Bicolored Hawk
Accipiter chionogaster;White-breasted Hawk;;Aves;Accipitriformes;False;True;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk;White-breasted Hawk
Accipiter cirrocephalus;Collared Sparrowhawk;;;;True;False;Collared Sparrowhawk;Collared Sparrowhawk;krahujec rudolímcový;Collared Sparrowhawk;Halsringsperber;Collared Sparrowhawk;Collared Sparrowhawk;Gavilán Acollarado;Collared Sparrowhawk;Épervier à collier roux;Collared Sparrowhawk;Collared Sparrowhawk;アカエリツミ;Collared Sparrowhawk;Grijskopsperwer;eukalyptushauk;krogulec obrożny;Collared Sparrowhawk;Collared Sparrowhawk;Ошейниковый перепелятник;jastrab goliernatý;Collared Sparrowhawk;Australisk sparvhök;Collared Sparrowhawk;Sidney Atmacası;Яструб австралійський;Collared Sparrowhawk
Accipiter cooperii;Cooper's Hawk;;;;True;False;Cooper's Hawk;Cooper's Hawk;jestřáb americký;Cooper's Hawk;Rundschwanzhabicht;Cooper's Hawk;Cooper's Hawk;Gavilán de Cooper;kyyhkyhaukka;Épervier de Cooper;Cooper's Hawk;Cooper's Hawk;クーパーハイタカ;Cooper's Hawk;Coopers Sperwer;trostehauk;krogulec czarnołbisty;Cooper's Hawk;Cooper's Hawk;Куперов ястреб;jastrab čiapočkatý;Cooperjev kragulj;Coopers hök;Cooper's Hawk;Cooper Atmacası;Яструб чорноголовий;Cooper's Hawk
Accipiter erythronemius;Rufous-thighed Hawk;;Aves;Accipitriformes;False;True;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk;Rufous-thighed Hawk
Accipiter fasciatus;Brown Goshawk;;;;True;False;Brown Goshawk;Brown Goshawk;jestřáb australský;Brown Goshawk;Bänderhabicht;Brown Goshawk;Brown Goshawk;Azor Australiano;australiankanahaukka;Autour australien;Brown Goshawk;Brown Goshawk;アカハラオオタカ;Brown Goshawk;Australische Havik;bendelhauk;krogulec brunatny;Brown Goshawk;Brown Goshawk;Бурый ястреб;jastrab pásikavý;Brown Goshawk;Brun duvhök;Brown Goshawk;Kahverengi Çakır;Яструб бурий;Brown Goshawk
Accipiter gentilis;Northern Goshawk;;;;True;False;Northern Goshawk;باز;jestřáb lesní;Duehøg;Habicht;Northern Goshawk;Eurasian Goshawk;Azor Común;kanahaukka;Autour des palombes;Héja;Astore;オオタカ;참매;Havik;hønsehauk;jastrząb;Northern Goshawk;Uliu porumbar;Тетеревятник;jastrab veľký;Kragulj;Duvhök;เหยี่ยวนกเขาท้องขาว;Çakır;Яструб великий;蒼鷹
Accipiter gularis;Japanese Sparrowhawk;;;;True;False;Japanese Sparrowhawk;Japanese Sparrowhawk;krahujec menší;Japanese Sparrowhawk;Trillersperber;Japanese Sparrowhawk;Japanese Sparrowhawk;Gavilán Japonés;idänvarpushaukka;Épervier du Japon;Japanese Sparrowhawk;Japanese Sparrowhawk;ツミ;조롱이;Kleine Sperwer;finkehauk;krogulec japoński;Japanese Sparrowhawk;Japanese Sparrowhawk;Малый перепелятник;jastrab japonský;Japanese Sparrowhawk;Tajgahök;เหยี่ยวนกเขาพันธุ์ญี่ปุ่น;Japon Atmacası;Яструб японський;日本松雀鷹
Accipiter hiogaster;Variable Goshawk;;;;True;False;Variable Goshawk;Variable Goshawk;jestřáb rezavobřichý;Variable Goshawk;Inselhabicht;Variable Goshawk;Variable Goshawk;Azor Variable;punakanahaukka;Autour variable;Variable Goshawk;Variable Goshawk;カワリオオタカ;Variable Goshawk;Grijs-rode Havik;protevshauk;krogulec rdzawobrzuchy;Variable Goshawk;Variable Goshawk;Изменчивый ястреб;jastrab hrdzavobruchý;Variable Goshawk;Variabel duvhök;Variable Goshawk;Değişken Çakır;Яструб індонезійський;Variable Goshawk
Accipiter madagascariensis;Madagascar Sparrowhawk;madspa1;Aves;Accipitriformes;False;True;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk;Madagascar Sparrowhawk
Accipiter melanoleucus;Black Goshawk;;;;True;False;Swartsperwer;Black Goshawk;jestřáb černohřbetý;Black Goshawk;Dominohabicht;Black Goshawk;Black Goshawk;Azor Blanquinegro;Black Goshawk;Autour noir;Black Goshawk;Black Goshawk;オオハイタカ;Black Goshawk;Zwarte Havik;nonnehauk;jastrząb czarno-biały;Black Goshawk;Black Goshawk;Чёрно-белый ястреб;jastrab čierno-biely;Black Goshawk;Svart duvhök;Black Goshawk;Kara Atmaca;Яструб чорний;Black Goshawk
Accipiter minullus;Little Sparrowhawk;;;;True;False;Kleinsperwer;Little Sparrowhawk;krahujec nejmenší;Little Sparrowhawk;Zwergsperber;Little Sparrowhawk;Little Sparrowhawk;Gavilán Chico;afrikanvarpushaukka;Épervier minule;Little Sparrowhawk;Little Sparrowhawk;アフリカツミ;Little Sparrowhawk;Oost-Afrikaanse Dwergsperwer;dverghauk;krogulec skromny;Little Sparrowhawk;Little Sparrowhawk;Африканский перепелятник;jastrab krahulček;Little Sparrowhawk;Dvärghök;Little Sparrowhawk;Küçük Atmaca;Яструб савановий;Little Sparrowhawk
